id,title,category,year,publisher,authors,country,era,subject,isbn13,synopsis,source_url,confidence
82,Chyna: If They Only Knew,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
83,Class in Session!: From Teacher to Wrestler,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
84,Club Kick Out!: Into The Ring,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
85,Controversy Creates Cash,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
86,Countdown to Lockdown: A Hardcore Journal,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
87,Cowboy James Storm: Make Your Own Luck! A Make Your Own Story Book,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
88,Cracking the Theft Rings: the Story of a Cop at the Port of Halifax,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
89,Crazy Like A Fox: The Definitive Chronicle of Brian Pillman 20 Years Later,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
90,"Crazy is my Superpower: How I Triumphed by Breaking Bones, Breaking Hearts and Breaking the Rules",about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
91,Creating the Mania: An Inside Look at How WrestleMania Comes to Life,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
92,"Cross Rhodes: Goldust, Out of the Darkness",about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
93,Crown Jewel: The NWA Championship 1959-1973,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
94,Cutting Promos: Pro Wrestling Erasure Poems,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
567,DURANGO,about_wrestling,,Crowbar Press,Scott Teal,US,territorial,,,,https://www.crowbarpress.com/ot01-ct.html,high
95,Daisy Wrestles with Confidence,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
96,Dazzler Dunlop: Inside my Squared Circle,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
100,Divas Uncovered,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
101,Do A Power Bomb,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
102,Do Your Best Every Day to do Your Best Every Day: Encouraging Words from John Cena & Be a Work in Progress: And Other Things I'd Like to Tell my Younger Self,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
103,Dramatic Dreams And Those Who Have Them: An Introduction To The DDT Pro Wrestling Universe,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
104,Drawing Heat the Hard Way: How Wrestling Really Works,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
105,Drax #1,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
106,Dropkick Murphy: A Legendary Life,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
107,Dungeon Wrestlers,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
108,Dusty: Reflections of an American Dream,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
109,"Dwayne ""The Rock"" Johnson: The People's Champion – From WWE to Hollywood",about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
110,Dynamite and Davey: The Explosive Lives of the British Bulldogs,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
111,Earl Hebner: The Official Story,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
112,Eat Like a Luchador: The Official Cookbook,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
521,Ed Don George,about_wrestling,,Crowbar Press,Scott Teal,US,territorial,,,,https://www.crowbarpress.com/70-edg.html,high
113,El Zombo,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
114,Empire of Illusion: The End of Literacy and the Triumph of Spectacle,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
115,Every Man Has His Price,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
116,"Everybody Loves Mickey: The Life and Times of ""Irish"" Mickey Doyle",about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
117,Fais-le Saigner,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
522,Fall Guys,about_wrestling,,Crowbar Press,Scott Teal,US,territorial,,,,https://www.crowbarpress.com/34-fg.html,high
118,Falls Guys: The Barnums of Bounce,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
119,Fathers' Blood: True Stories of Pro Wrestling Dads Facing Their Greatest Challenger – Parenthood,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
120,Fighting Girls,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
121,Final Bell,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
523,Florida Mat Wars 1977,about_wrestling,,Crowbar Press,Scott Teal,US,territorial,,,,https://www.crowbarpress.com/77-fmw77.html,high
554,Florida v1,about_wrestling,,Crowbar Press,Scott Teal,US,territorial,,,,https://www.crowbarpress.com/47-cap03.html,high
555,Florida v2,about_wrestling,,Crowbar Press,Scott Teal,US,territorial,,,,https://www.crowbarpress.com/48-cap04.html,high
122,Flowers For Adrian: The Life And Death Of Adrian Adonis,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
123,Foley Is Good and the Real World is Faker than Wrestling,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
124,Follow The Buzzards: Pro Wrestling In The Age Of COVID-19,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
126,For The Love Of The Show: Pro Wrestling Fans Tell Their Stories,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
127,"For Your Consideration: Dwayne ""The Rock"" Johnson",about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
128,Forgiven: One Man's Journey from Self-Glorification to Sanctification,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
129,From Badd To Good: The Inspiring Story of a Wrestling Wildman,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
130,From Nanjo to The Sheik: Tales from Toronto Wrestling,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
132,From The Ring To The Reel: The Pat Rose Story,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
133,From the Farm to our Table,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
545,GPWV 1: Madison Square Garden,about_wrestling,,Crowbar Press,Scott Teal,US,territorial,,,,https://www.crowbarpress.com/24-msg.html,high
546,"GPWV 2: Nashville, Tennessee",about_wrestling,,Crowbar Press,Scott Teal,US,territorial,,,,https://www.crowbarpress.com/30-nv.html,high
547,GPWV 3: Alabama: 1931-1935,about_wrestling,,Crowbar Press,Scott Teal,US,territorial,,,,https://www.crowbarpress.com/42-al1.html,high
548,"GPWV 4: Japan, The Rikidozan Years",about_wrestling,,Crowbar Press,Scott Teal,US,territorial,,,,https://www.crowbarpress.com/46-jp1.html,high
549,"GPWV 5: Knoxville, Tennessee",about_wrestling,,Crowbar Press,Scott Teal,US,territorial,,,,https://www.crowbarpress.com/54-gwv05.html,high
550,"GPWV 6: Amarillo, Texas",about_wrestling,,Crowbar Press,Scott Teal,US,territorial,,,,https://www.crowbarpress.com/40-gwv06.html,high
134,Ganbaru: How All Japan Pro Wrestling Survived the Year 2000 Roster Split,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
135,Gangrel: The Vampire Warrior,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
136,Gene Kiniski: Canadian Wrestling Legend,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
137,"George Gordienko: Canadian Wrestler, Artist, And Renaissance Man",about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
138,Glorious Wrestling Alliance: Ultimate Championship Edition,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
139,Glory Days: The Summer of 1984 and the 90 Days That Changed Sports and Culture Forever,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
140,Goal Dust: The Warm and Candid Memoirs of a Pioneer Black Athlete and Actor,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
141,Good Advice From Professional Wrestling: Full Contact Life Lessons From the Pinnacle Performance Art,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
142,Gordon Solie ... Something Left Behind,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
143,Gorgeous George: The Outrageous Bad-Boy Wrestler Who Created American Pop Culture,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
144,Grappler: Memoirs of a Masked Madman,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
145,Grappling By Gaslight,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
146,Grappling Glory: Celebrating A Century Of Minnesota Wrestling & Rassling,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
147,Hacksaw: The Jim Duggan Story,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
148,Hard Style Juice #2,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
149,Hard Style Juice!,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
150,Hardcore History: The Extremely Unauthorized Story of ECW & The Rise & Fall of ECW,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
151,Hardy Boyz – Exist 2 Inspire,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
152,Hasbook: A Collector's Guide to Real Wrestling Action,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
153,Have A Good Week... Till Next Week,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
154,Have a Nice Day! A Tale of Blood and Sweatsocks,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
155,Headlocked,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
156,Headlocked: Tales From The Road Volume 3,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
158,Hell Is A Squared Circle,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
159,Hey Boy! Where'd You Get Them Ears? 55 Years in Pro Wrestling,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
160,Hillbilly Jim: The Incredible Story of a Wrestling Superstar,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
162,Hot Shots and High Spots: George Napolitano's Amazing Pictoral History of Wrestling's Greatest Stars,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
163,How to Be a Mark Without Leaving a Mark: One Fan's Journey Through the World of Professional Wrestling,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
164,How to Become a Champion,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
165,How to be a WWE Superstar,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
167,"Hustle, Loyalty, Respect: The World of John Cena",about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
168,I Ain't Got Time to Bleed: Reworking the Body Politic From the Bottom Up,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
1,I Ain't No Pig Farmer!,about_wrestling,,Crowbar Press,Dean Silverstone; Scott Teal,,,Dean Silverstone,,,https://slamwrestling.net/archives/books/,low
169,I'm Next,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
170,IWF: Intergalactic Wrestling Federation,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
171,If You Don't Buy This Book Everybody Dies,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
172,"If You Don't Want the Answer, Don't Ask the Question",about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
173,In a League of Her Own: Celebrating Female Firsts in Sports,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
174,In the Pit with Piper,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
175,Independent Road: A Wrestler's Journey,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
176,Inside Out: How Corporate America Destroyed Professional Wrestling,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
177,Inside Secrets On How You Can Enter The Exciting World Of Pro Wrestling,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
178,Is This Guy For Real? The Unbelievable Andy Kaufman,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
179,Is Wrestling Fixed? I Didn't Know It Was Broken!,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
180,It's Only Wrestling: Everyone's Guide to Professional Grunt and Groan,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
182,It's Vader Time: The Story of a Modern Day Gladiator,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
183,"It's Wrestling, Not Rasslin'!",about_wrestling,,Crowbar Press,Mark Fleming; Scott Teal,,,Mark Fleming,,,https://slamwrestling.net/archives/books/,low
561,Jacksonville v1 1976-1977,about_wrestling,,Crowbar Press,Scott Teal,US,territorial,,,,https://www.crowbarpress.com/78-cap22.html,high
562,Jacksonville v2 1977-1978,about_wrestling,,Crowbar Press,Scott Teal,US,territorial,,,,https://www.crowbarpress.com/79-cap23.html,high
563,Jacksonville v3 1978-1980,about_wrestling,,Crowbar Press,Scott Teal,US,territorial,,,,https://www.crowbarpress.com/80-cap24.html,high
184,James C. Melby,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
185,Jesse Ventura's Marijuana Manifesto,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
187,Johnny Rougeau,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
188,Journey into Darkness: The Unauthorized History of Kane,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
189,Just A dream To... JUSTIN CREDIBLE!,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
191,Kamala Speaks,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
192,Kayfabe Stories You're Not Supposed to Hear From A Pro Wrestling Production Company Owner,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
193,Kayfabe: A Mostly True History Of Professional Wrestling,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
194,Ken Patera: Weight Of The World,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
195,Kicking Down Doors: Female Superstars are Ruling the Ring and Changing the Game,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
196,Killer Pics: A Collection of Images from a Pro-Wrestling Legend,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
197,"Killers, Butchers, Cry-Babys & Canadian Destroyers: The History of Pro Wrestling in Windsor, Ontario, Canada",about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
198,King Of New York: Who Was The MVP Of The World Wrestling Federation?,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
199,King of Strong Style: 1980-2014,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
200,King of the Ring: The Harley Race Story,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
556,Knoxville v1,about_wrestling,,Crowbar Press,Scott Teal,US,territorial,,,,https://www.crowbarpress.com/50-cap05.html,high
201,Lance by Chance: Wrestling as a Von Erich,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
203,Legends & Icons: A History of Olympic Auditorium and Southern California Professional Wrestling,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
206,"Listen, You Pencil Neck Geeks",about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
207,Living the Gimmick,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
208,Lock Up: Professional Wrestling in Our World,about_wrestling,,,,,,,,,https://slamwrestling.net/archives/books/,low
